Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,Notes,Workout Notes,RPE
2022-02-28 16:32:18,"Back A",44m,"Pull Up (Assisted)",1,145.0,20,0,0,"","",
2022-02-28 16:32:18,"Back A",44m,"Pull Up (Assisted)",2,130.0,20,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Pull Up (Assisted)",3,115.0,20,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Pull Up (Assisted)",4,100.0,16,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row Warm Up",1,45.0,20,0,0,"",,
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row Warm Up",2,55.0,20,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row Warm Up",3,65.0,20,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Deadlift (Barbell)",1,155.0,10,0,0,"Set 1: 50% 1rm for 10\nSet 2: 70% 1rm as many\nSet 3: 90% 1rm as many ",,6
2022-02-28 16:32:18,"Back A",44m,"Deadlift (Barbell)",2,235.0,10,0,0,,,8
2022-02-28 16:32:18,"Back A",44m,"Deadlift (Barbell)",3,275.0,6,0,0,,,9.5
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row (Barbell)",1,115.0,8,0,0,"",,
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row (Barbell)",2,125.0,8,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Bent Over Row (Barbell)",3,135.0,8,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Seated Row (Cable)",1,40.0,8,0,0,"SLOW ",,
2022-02-28 16:32:18,"Back A",44m,"Seated Row (Cable)",2,50.0,8,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Seated Row (Cable)",3,60.0,8,0,0,,,
2022-02-28 16:32:18,"Back A",44m,"Seated Row (Cable)",4,70.0,7,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Chest Fly (Dumbbell)",1,15.0,8,0,0,"","",
2022-03-01 19:05:16,"Chest A",44m,"Chest Fly (Dumbbell)",2,17.5,8,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Chest Dip",1,100.0,12,0,0,"",,
2022-03-01 19:05:16,"Chest A",44m,"Chest Dip",2,85.0,12,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Chest Dip",3,70.0,12,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Chest Dip",4,55.0,7,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Barbell)",1,115.0,8,0,0,"",,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Barbell)",2,125.0,8,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Barbell)",3,135.0,10,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Dumbbell)",1,40.0,8,0,0,"",,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Dumbbell)",2,55.0,8,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Dumbbell)",3,60.0,8,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Incline Bench Press (Dumbbell)",4,70.0,5,0,0,,,
2022-03-01 19:05:16,"Chest A",44m,"Cable Crossover",1,15.0,20,0,0,"",,
2022-03-07 17:00:46,"Back A",41m,"Pull Up (Assisted)",1,145.0,20,0,0,"","",
2022-03-07 17:00:46,"Back A",41m,"Pull Up (Assisted)",2,130.0,20,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Pull Up (Assisted)",3,115.0,20,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Pull Up (Assisted)",4,100.0,10,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row Warm Up",1,45.0,20,0,0,"",,
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row Warm Up",2,55.0,20,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row Warm Up",3,65.0,20,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Deadlift (Barbell)",1,155.0,10,0,0,"Set 1: 50% 1rm for 10\nSet 2: 70% 1rm as many\nSet 3: 90% 1rm as many ",,6
2022-03-07 17:00:46,"Back A",41m,"Deadlift (Barbell)",2,225.0,10,0,0,,,8
2022-03-07 17:00:46,"Back A",41m,"Deadlift (Barbell)",3,255.0,5,0,0,,,9.5
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row (Barbell)",1,115.0,8,0,0,"",,
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row (Barbell)",2,125.0,8,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Bent Over Row (Barbell)",3,135.0,8,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Seated Row (Cable)",1,40.0,8,0,0,"SLOW ",,
2022-03-07 17:00:46,"Back A",41m,"Seated Row (Cable)",2,50.0,8,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Seated Row (Cable)",3,60.0,8,0,0,,,
2022-03-07 17:00:46,"Back A",41m,"Seated Row (Cable)",4,70.0,7,0,0,,,
2022-03-09 16:59:18,"Chest A",32m,"Chest Fly (Dumbbell)",1,15.0,8,0,0,"","",
2022-03-09 16:59:18,"Chest A",32m,"Chest Fly (Dumbbell)",2,17.5,8,0,0,,,
